features,rank
occupationclasscd_encd,1
maturedriverind_encd,1
drivertrainingind_encd,1
gooddriverind_encd,1
accidentpreventioncourseind_encd,1
maritalstatuscd_encd,1
garageterritory,1
mvrstatus_encd,1
vehnumber,1
external_height_in,1
external_vehicleage,1
ratingvalue,1
estimatedannualdistance,1
odometerreading,1
driverage,1
drivernumber,1
scholasticdiscountind_encd,1
mvrstatusage,1
external_model_encd,1
daylightrunninglightsind_encd,1
relationshiptoinsuredcd_encd,1
carpoolind_encd,1
classcd_encd,1
driverstatuscd_encd,2
external_width_in,2
modelscore,3
enginehorsepower,4
acci_last_infractionage,6
external_length_in,6
external_engine,7
vehbodytypecd_encd,8
enginecylinders_encd,9
viol_last_infractionage,10
external_make_encd,11
passiveseatbeltind_encd,13
viol_last_convictionage,13
restraintcd_encd,14
havelicenseage,15
acci_last_convictionage,16
daysperweekdriven,18
antitheftcd_encd,18
licensedstateprovcd_encd,20
acci_infractioncdcountterm,20
acci_driverpointsnumbercountterm,21
acci_pointschargedterm,22
registrationstateprovcd_encd,23
programtypecd_encd,24
vehusecd_encd,25
gendercd_encd,26
viol_driverpointsnumbercountterm,28
performancecd_encd,28
viol_infractioncdcountterm,29
viol_pointschargedterm,30
persontypecd_encd,31
