features,rank
mvrstatusage,1
vehnumber,1
accidentpreventioncourseind_encd,1
gooddriverind_encd,1
drivertrainingind_encd,1
maturedriverind_encd,1
mvrstatus_encd,1
scholasticdiscountind_encd,1
relationshiptoinsuredcd_encd,1
drivernumber,1
driverstatuscd_encd,1
maritalstatuscd_encd,1
occupationclasscd_encd,1
daylightrunninglightsind_encd,1
carpoolind_encd,1
classcd_encd,1
vehicleage,1
ratingvalue,1
estimatedannualdistance,1
odometerreading,1
vehbodytypecd_encd,1
driverage,1
enginehorsepower,2
model_encd,2
garageterritory,3
acci_last_infractionage,4
enginesize,6
manufacturer_encd,6
viol_last_infractionage,7
enginecylinders_encd,8
restraintcd_encd,9
viol_last_convictionage,10
havelicenseage,11
passiveseatbeltind_encd,12
acci_last_convictionage,13
antitheftcd_encd,14
registrationstateprovcd_encd,15
daysperweekdriven,17
acci_driverpointsnumbercountterm,17
licensedstateprovcd_encd,19
acci_infractioncdcountterm,19
acci_pointschargedterm,20
gendercd_encd,22
vehusecd_encd,22
programtypecd_encd,23
performancecd_encd,24
viol_driverpointsnumbercountterm,25
viol_infractioncdcountterm,26
viol_pointschargedterm,27
persontypecd_encd,28
