"","Feature","NumLevels","Grouping","Pvalue","CramerV"
"1","external_make",106,"kmeans",0.00157647282317061,0.0114614757242637
"2","external_make",106,"hclust",0.00546016843421955,0.0105039262395968
"3","external_make",106,"trgbin",1.46412568331089e-13,0.0223143840292559
"4","external_model",1050,"kmeans",0.000107878922483794,0.0132557993665373
"5","external_model",1050,"hclust",0.000539190257480112,0.0122167401659236
"6","external_model",1050,"trgbin",3.99642980959766e-43,0.0392332545985997
"7","manufacturer",219,"kmeans",0.000556176000882677,0.0121956846348949
"8","manufacturer",219,"hclust",0.000656087263818221,0.0120827986213704
"9","manufacturer",219,"trgbin",1.65847907809499e-13,0.0222710306957242
"10","model",6107,"kmeans",3.78702732367508e-17,0.0250121089876902
"11","model",6107,"hclust",4.38736628455854e-06,0.0150842086978966
"12","model",6107,"trgbin",3.98567574640574e-29,0.0323784123990109
"13","registrationstateprovcd",30,"kmeans",1,0
"14","registrationstateprovcd",30,"hclust",1.87156290927905e-12,0.0214095792110139
"15","registrationstateprovcd",30,"trgbin",3.83595657742773e-13,0.0214029187223417
"16","vehbodytypecd",103,"kmeans",5.58507313873668e-24,0.0294479359356636
"17","vehbodytypecd",103,"hclust",1.81814474671894e-69,0.0495904554857226
"18","vehbodytypecd",103,"trgbin",7.63714740511983e-86,0.055044742708039
"19","performancecd",6,"kmeans",9.49058031711844e-05,0.0133345022697643
"20","performancecd",6,"hclust",9.49058031711844e-05,0.0133345022697643
"21","performancecd",6,"trgbin",2.32636466341156e-05,0.0134809689993673
"22","restraintcd",8,"kmeans",6.53212233908799e-05,0.0135609679924335
"23","restraintcd",8,"hclust",2.72869122423617e-06,0.0153344942297086
"24","restraintcd",8,"trgbin",1.48310100259906e-07,0.0167792214518146
"25","antitheftcd",9,"kmeans",0.000108574126223745,0.013251839296123
"26","antitheftcd",9,"hclust",0.000108574126223745,0.013251839296123
"27","antitheftcd",9,"trgbin",5.35398541377171e-06,0.0143066564987287
"28","enginecylinders",10,"kmeans",1.59834294265411e-15,0.0238296281378955
"29","enginecylinders",10,"hclust",1.07928027850488e-14,0.0232017441162761
"30","enginecylinders",10,"trgbin",3.1464705883187e-16,0.023803284847539
"31","vehusecd",6,"kmeans",1.36652847671757e-05,0.014465588352281
"32","vehusecd",6,"hclust",1.36652847671757e-05,0.014465588352281
"33","vehusecd",6,"trgbin",1.25979418270277e-06,0.0142994000538981
"34","classcd",4905,"kmeans",6.97328712017907e-46,0.0404444100583309
"35","classcd",4905,"hclust",4.19039653362601e-29,0.0323666006297556
"36","classcd",4905,"trgbin",5.5875172724965e-103,0.0602205053641646
"37","carpoolind",3,"none",2.11901820101862e-73,0.0501870845437415
"38","daylightrunninglightsind",3,"none",2.38267223174187e-27,0.0303760157448936
"39","passiveseatbeltind",3,"none",3.01101863690991e-18,0.0246425606367302
"40","programtypecd",3,"none",1.06401189914522e-19,0.0256431547652624
"41","driverstatuscd",3,"none",5.09794509211302e-18,0.0244812194199219
"42","licensedstateprovcd",55,"kmeans",4.81653615808444e-14,0.0226972138010165
"43","licensedstateprovcd",55,"hclust",1.23123455023528e-14,0.0231577786742195
"44","licensedstateprovcd",55,"trgbin",1.85930956520325e-11,0.0199664384607925
"45","relationshiptoinsuredcd",4,"none",1.79754797483342e-62,0.0466828997346199
"46","scholasticdiscountind",3,"none",1.48386333674485e-117,0.063632272749763
"47","mvrstatus",5,"none",4.98476988095845e-137,0.0693602456071016
"48","maturedriverind",2,"none",3.56663287483796e-52,0.0417737020642132
"49","drivertrainingind",4,"none",7.94862701650233e-127,0.0664453604044135
"50","gooddriverind",4,"none",1.1394086159497e-119,0.0645486189110951
"51","accidentpreventioncourseind",3,"none",3.40281962263686e-145,0.0707601769041784
"52","persontypecd",2,"none",0.00100223837927045,0.00944628282863182
"53","gendercd",3,"none",5.18534292500282e-05,0.0121867955910531
"54","maritalstatuscd",3,"none",1.93558613607566e-51,0.0419240559394907
"55","occupationclasscd",10853,"kmeans",2.58766778302247e-12,0.0212916066530651
"56","occupationclasscd",10853,"hclust",9.7218303192501e-15,0.0232365627710495
"57","occupationclasscd",10853,"trgbin",3.49677128060187e-33,0.0345087935854493
"58","garageterritory",36,"kmeans",1.4419098751206e-12,0.0215040467569735
"59","garageterritory",36,"hclust",1.37651730288686e-20,0.0273392266727151
"60","garageterritory",36,"trgbin",2.67509253487736e-17,0.0251189753947462
"61","vehnumber",26,"kmeans",1.50368862687259e-37,0.0366604894541765
"62","vehnumber",26,"hclust",1.50368862687259e-37,0.0366604894541765
"63","vehnumber",26,"trgbin",7.73069313560038e-37,0.0363189873079959
"64","drivernumber",19,"kmeans",4.52932263470179e-71,0.0501510450077585
"65","drivernumber",19,"hclust",4.52932263470179e-71,0.0501510450077585
"66","drivernumber",19,"trgbin",2.14612820587432e-71,0.0502636725649533
"67","viol_pointschargedterm",9,"kmeans",0.00164288751699732,0.011431226904196
"68","viol_pointschargedterm",9,"hclust",0.00164288751699732,0.011431226904196
"69","viol_pointschargedterm",9,"trgbin",0.00564396064289098,0.0097294064938771
"70","acci_pointschargedterm",9,"kmeans",2.20518782918741e-15,0.0237250465912479
"71","acci_pointschargedterm",9,"hclust",2.20518782918741e-15,0.0237250465912479
