"","variable","q_zeros","p_zeros","q_na","p_na","q_inf","p_inf","type","unique"
"1","X",1,0,0,0,0,0,"character",132874
"2","Unnamed..0",1,0,0,0,0,0,"character",132874
"3","hasclaim",125940,94.78,0,0,0,0,"factor",2
"4","modelscore",0,0,0,0,0,0,"numeric",307
"5","postalcodescore",0,0,0,0,0,0,"character",213
"6","external_make",0,0,0,0,0,0,"factor",106
"7","external_model",0,0,0,0,0,0,"factor",1050
"8","external_engine",0,0,0,0,0,0,"factor",67
"9","external_length_in",2707,2.04,0,0,0,0,"numeric",762
"10","external_width_in",2974,2.24,0,0,0,0,"numeric",203
"11","external_height_in",3060,2.3,0,0,0,0,"numeric",377
"12","external_vinyear",0,0,0,0,0,0,"character",38
"13","external_vehicleage",5411,4.07,0,0,0,0,"numeric",37
"14","postalcode",0,0,0,0,0,0,"character",1984
"15","city",0,0,0,0,0,0,"character",2465
"16","manufacturer",0,0,0,0,0,0,"factor",219
"17","model",0,0,0,0,0,0,"factor",6107
"18","registrationstateprovcd",0,0,0,0,0,0,"factor",30
"19","vehbodytypecd",0,0,0,0,0,0,"factor",103
"20","performancecd",0,0,0,0,0,0,"factor",6
"21","restraintcd",0,0,0,0,0,0,"factor",8
"22","antibrakingsystemcd",0,0,0,0,0,0,"character",10
"23","antitheftcd",0,0,0,0,0,0,"factor",9
"24","enginecylinders",0,0,0,0,0,0,"factor",10
"25","enginetype",0,0,0,0,0,0,"character",12
"26","vehusecd",0,0,0,0,0,0,"factor",6
"27","classcd",0,0,0,0,0,0,"factor",4905
"28","leasedvehind",0,0,0,0,0,0,"character",4
"29","statedamtind",0,0,0,0,0,0,"character",3
"30","neworusedind",0,0,0,0,0,0,"character",3
"31","carpoolind",0,0,0,0,0,0,"factor",3
"32","daylightrunninglightsind",0,0,0,0,0,0,"factor",3
"33","passiveseatbeltind",0,0,0,0,0,0,"factor",3
"34","customizingequipmentind",0,0,0,0,0,0,"character",3
"35","programtypecd",0,0,0,0,0,0,"factor",3
"36","mileage",0,0,0,0,0,0,"character",3
"37","garageterritory",981,0.74,0,0,0,0,"factor",36
"38","vehnumber",0,0,0,0,0,0,"factor",26
"39","modelyr",0,0,0,0,0,0,"character",43
"40","vehicleage",5380,4.05,0,0,0,0,"numeric",40
"41","enginesize",69259,52.12,0,0,0,0,"factor",67
"42","enginehorsepower",69052,51.97,0,0,0,0,"factor",318
"43","ratingvalue",18610,14.01,0,0,0,0,"numeric",64
"44","statedamt",132778,99.93,0,0,0,0,"character",61
"45","costnewamt",97041,73.03,0,0,0,0,"character",9214
"46","estimatedannualdistance",92,0.07,0,0,0,0,"numeric",9710
"47","estimatedworkdistance",68843,51.81,0,0,0,0,"character",139
"48","odometerreading",2517,1.89,0,0,0,0,"numeric",40812
"49","weekspermonthdriven",121477,91.42,0,0,0,0,"character",5
"50","daysperweekdriven",65506,49.3,0,0,0,0,"numeric",8
"51","optionalequipmentvalue",132548,99.75,0,0,0,0,"character",121
"52","estimatedannualdistanceoverride",131479,98.95,0,0,0,0,"character",378
"53","originalestimatedannualmiles",122078,91.88,0,0,0,0,"character",1451
"54","reportedmileagenonsave",118405,89.11,0,0,0,0,"character",9627
"55","estimatednoncommutemiles",132126,99.44,0,0,0,0,"character",68
"56","drivernumber",0,0,0,0,0,0,"factor",19
"57","driverstatuscd",0,0,0,0,0,0,"factor",3
"58","licensedstateprovcd",0,0,0,0,0,0,"factor",55
"59","relationshiptoinsuredcd",0,0,0,0,0,0,"factor",4
"60","scholasticdiscountind",0,0,0,0,0,0,"factor",3
"61","mvrrequestind",0,0,0,0,0,0,"character",2
"62","mvrstatus",0,0,0,0,0,0,"factor",5
"63","maturedriverind",0,0,0,0,0,0,"factor",2
"64","drivertrainingind",0,0,0,0,0,0,"factor",4
"65","gooddriverind",0,0,0,0,0,0,"factor",4
"66","accidentpreventioncourseind",0,0,0,0,0,0,"factor",3
