"","Variable","IV"
"24","gooddriverind",17.92
"21","mvrstatus",12.75
"25","accidentpreventioncourseind",9.33
"23","drivertrainingind",8.63
"20","scholasticdiscountind",8.06
"6","vehbodytypecd",6.77
"12","classcd_trgbin",6.45
"56","driverage",6.38
"22","maturedriverind",6.33
"32","drivernumber",5.3
"13","carpoolind",5.1
"19","relationshiptoinsuredcd",4.72
"45","enginehorsepower",4.66
"52","ratingvalue",4.56
"51","vehicleage",3.8
"50","external_vehicleage",3.73
"14","daylightrunninglightsind",3.71
"1","external_make",3.56
"28","maritalstatuscd",3.33
"2","external_model_trgbin",3.25
"31","vehnumber",3.06
"29","occupationclasscd_trgbin",2.94
"3","manufacturer",2.85
"54","odometerreading",2.68
"30","garageterritory",2.36
"16","programtypecd",2.25
"4","model_trgbin",1.98
"40","acci_last_infractionage",1.97
"44","enginesize",1.93
"43","external_engine",1.68
"42","acci_last_convictionage",1.55
"17","driverstatuscd",1.47
"58","mvrstatusage",1.42
"18","licensedstateprovcd",1.29
"15","passiveseatbeltind",1.27
"10","enginecylinders",1.17
"41","viol_last_convictionage",1.16
"5","registrationstateprovcd",1.11
"38","acci_infractioncdcountterm",1.1
"36","acci_driverpointsnumbercountterm",1.08
"39","viol_last_infractionage",1.04
"34","acci_pointschargedterm",1.03
"49","external_height_in",0.86
"57","havelicenseage",0.65
"8","restraintcd",0.64
"46","modelscore",0.6
"37","viol_infractioncdcountterm",0.59
"9","antitheftcd",0.46
"7","performancecd",0.42
"48","external_width_in",0.41
"55","daysperweekdriven",0.41
"47","external_length_in",0.39
"35","viol_driverpointsnumbercountterm",0.35
"53","estimatedannualdistance",0.3
"33","viol_pointschargedterm",0.18
"27","gendercd",0.12
"11","vehusecd",0.05
"26","persontypecd",0
