"","variable","mean","std_dev","variation_coef","p_01","p_05","p_25","p_50","p_75","p_95","p_99","skewness","kurtosis","iqr","range_98","range_80"
"1","modelscore",0.263620128843867,0.0419615584098332,0.159174333894228,0.155,0.213,0.247,0.258,0.269,0.343,0.417,1.76035356747244,12.9851975705342,0.022,"[0.16, 0.42]","[0.23, 0.31]"
"2","external_engine",23.7879494859792,12.4683957756889,0.524147564002431,6,8,14,22,30,48,58,0.799898066252462,2.98518271188721,16,"[6, 58]","[10, 44]"
"3","external_length_in",186.928399084847,32.3779176789972,0.173210265735496,0,162.8,178.3,188.5,198.1,227.7,247.7,-3.63686931390647,23.2064574933985,19.8,"[0, 247.7]","[172.1, 218]"
"4","external_width_in",70.6264017038698,11.461392676563,0.162281985207453,0,66.5,69.1,71.5,74.6,79.4,80,-5.14415843180277,32.3786471109269,5.5,"[0, 80]","[66.8, 78.9]"
"5","external_height_in",61.3292833812484,12.030396059359,0.196160714687844,0,52.8,56.5,58.7,68.9,76.2,79.626999999999,-2.78626173157917,15.9702012916688,12.4,"[0, 79.63]","[54.5, 73.9]"
"6","external_vehicleage",9.35260472327167,6.33021686695359,0.676839987816698,0,1,4,9,13,21,27,0.663207864853216,3.16630164909943,9,"[0, 27]","[2, 18]"
"7","vehnumber",9.33371464695877,8.48071788716413,0.908611223713318,1,1,1,12,20,22,24,0.312636197759287,1.51072832812498,19,"[1, 24]","[1, 21]"
"8","vehicleage",9.35465177536614,6.33259874864924,0.676946496856788,0,1,4,9,13,21,27,0.66811414607489,3.19139510863583,9,"[0, 27]","[2, 18]"
"9","enginesize",11.5954739076117,13.909347211584,1.19954969692557,1,1,1,1,18,41,54,1.25916618167403,3.87605243668063,17,"[1, 54]","[1, 30]"
"10","enginehorsepower",51.8963228321568,69.4066743514249,1.33741025497895,1,1,1,1,88,192,249,1.2502348672953,3.5767899599627,87,"[1, 249]","[1, 163]"
"11","ratingvalue",11.202703312913,6.07660859969276,0.542423416023921,0,0,8,12,15,20,24,-0.205605991202026,4.25940368246442,7,"[0, 24]","[0, 18]"
"12","estimatedannualdistance",9374.59593298915,12704.7680693033,1.35523367194903,1000,3000,6614,10000,12000,15000,20898.54,203.671408970835,49118.2477238691,5386,"[1000, 20898.54]","[4401.9, 13000]"
"13","odometerreading",65827.7998253985,294942.42899978,4.48051476400677,0,1,5100,50000,100200,180000,247059.849999999,297.7037055771,99554.3588238042,95100,"[0, 247059.85]","[11, 150000]"
"14","daysperweekdriven",2.4066408778241,2.43589687435946,1.01215636150991,0,0,0,2,5,5,5,0.0712614868808923,1.05744069030865,5,"[0, 5]","[0, 5]"
"15","drivernumber",6.10476842723181,5.74770703415661,0.941511066745391,1,1,1,1,12,14,15,0.263458977314685,1.12939548612354,11,"[1, 15]","[1, 13]"
"16","viol_pointschargedterm",1.08063277992685,0.362622032637063,0.33556453160861,1,1,1,1,1,2,2,6.84653047450456,68.3960837247328,0,"[1, 2]","[1, 1]"
"17","acci_pointschargedterm",1.08282282463085,0.324128412973988,0.29933651711164,1,1,1,1,1,2,3,4.68565215782072,32.267533040172,0,"[1, 3]","[1, 1]"
"18","viol_driverpointsnumbercountterm",1.23333383506179,1.11471202595024,0.903820193901025,1,1,1,1,1,2,8,6.29784039144362,43.9146875658582,0,"[1, 8]","[1, 1]"
"19","acci_driverpointsnumbercountterm",1.10834324247031,0.365373893757357,0.3296577086923,1,1,1,1,1,2,3,3.93569107578287,22.1165081429281,0,"[1, 3]","[1, 1]"
"20","viol_infractioncdcountterm",1.14081009076268,0.542320240338181,0.475381700012505,1,1,1,1,1,2,4,5.52965414640954,41.7798004445773,0,"[1, 4]","[1, 1]"
"21","acci_infractioncdcountterm",1.10111835272514,0.333894004544162,0.303231713210313,1,1,1,1,1,2,2,3.50639552462363,16.1254748167383,0,"[1, 2]","[1, 1]"
"22","viol_last_infractionage",2.57128557881903,2.1194086162555,0.824260297539152,2,2,2,2,2,9,12,3.78485702032816,16.1991241823921,0,"[2, 12]","[2, 2]"
"23","acci_last_infractionage",2.2031322907416,0.773928193500255,0.351285393415817,2,2,2,2,2,3,6,4.10764715035732,19.566183314654,0,"[2, 6]","[2, 2]"
"24","viol_last_convictionage",2.16405015277631,0.586385021893301,0.270966465883895,2,2,2,2,2,4,5,3.9144949344404,19.0834502642365,0,"[2, 5]","[2, 2]"
"25","acci_last_convictionage",1.08404202477535,0.527712254255019,0.486800550342482,1,1,1,1,1,1,4,6.85315552407293,52.1297005581426,0,"[1, 4]","[1, 1]"
"26","driverage",50.0070517934284,18.0196409634245,0.360341998121805,17,21,36,51,63,80,89,0.057236242446638,2.34059357127363,27,"[17, 89]","[25, 74]"
"27","havelicenseage",17.0691256378223,3.74532246214089,0.219420873781718,15,16,16,16,16,22,35,5.29852022939899,45.6909709983739,0,"[15, 35]","[16, 19]"
"28","mvrstatusage",0.465185062540452,0.643568803605344,1.38346833428122,0,0,0,0,1,2,2,1.29243559931925,4.80251921692239,1,"[0, 2]","[0, 1]"
